point,X,Y
1,21.24210768,-28.34270665
2,18.02785394,-32.91262693
3,22.4622341,-33.9577202
4,27.83455285,-33.01860287
5,27.72436522,-32.9396967
6,27.56311503,-32.87426392
7,27.37230231,-32.87652103
8,27.20567711,-32.83362615
9,28.1355532,-32.32862996
10,26.94230181,-31.88243702
11,26.88317674,-31.90981754
12,28.75367892,-31.59902896
13,30.19418059,-31.05495095
14,24.02904842,-30.66737839
15,25.27604987,-29.42982413
16,26.14680088,-29.04522536
17,26.70580153,-29.23770538
18,26.81330166,-29.13446824
19,24.78154929,-28.65447094
20,24.75467426,-28.68748275
21,24.71167421,-27.30645422
22,28.83430401,-28.50815091
23,29.09230431,-28.21016537
24,29.91468027,-28.55065188
25,29.72118004,-28.51287409
26,31.02193155,-29.63559679
27,31.37668197,-29.04522536
28,31.86043253,-28.73933743
29,32.01093271,-28.73933743
30,31.408932,-28.2243741
31,30.12968052,-27.69977622
32,30.02486789,-27.65217579
33,29.93886779,-27.60693618
34,25.62979247,-25.68783612
35,31.27489279,-25.49150141
36,30.93559552,-25.27722786
37,30.98934558,-25.12646322
38,31.20703333,-24.76094114
39,30.14278209,-24.55333237
40,29.00596827,-23.88668174
41,29.45343754,-24.04385406
42,29.38087496,-23.54404999
43,29.42387501,-23.59331629
44,30.12800083,-23.52433829
45,30.278501,-23.5883905
46,30.67625146,-22.93657322
47,30.46662622,-22.48289077
48,29.89150055,-22.66156808
