Year,World Trade,(relative to 1913) (Federico and Tena-Junguito (2016))
1800,2.140985227,
1801,2.404047444,
1802,3.023091325,
1803,2.625804572,
1804,2.739896095,
1805,2.452423515,
1806,2.602440698,
1807,2.613827858,
1808,1.775507036,
1809,2.600542665,
1810,2.522552756,
1811,2.159217293,
1812,2.115038114,
1813,2.174440647,
1814,2.267282011,
1815,2.930514119,
1816,3.017644347,
1817,3.263395663,
1818,3.065482067,
1819,2.825089808,
1820,3.357307712,
1821,3.381799261,
1822,3.547340355,
1823,3.703233469,
1824,4.131801337,
1825,3.967434586,
1826,4.430823885,
1827,4.586846102,
1828,4.827779502,
1829,4.9666227,
1830,5.152685622,
1831,5.072184043,
1832,5.267371644,
1833,5.489606174,
1834,5.757384955,
1835,5.873858065,
1836,6.261173298,
1837,6.108251403,
1838,6.503422447,
1839,6.468313742,
1840,7.074869422,
1841,7.13085229,
1842,7.038598453,
1843,7.445915689,
1844,8.363319335,
1845,8.763817587,
1846,8.946847121,
1847,9.05064155,
1848,8.700229346,
1849,9.933625156,
1850,10.14390364,
1851,10.74941445,
1852,12.02972325,
1853,13.09038399,
1854,12.51395781,
1855,13.30299759,
1856,14.72102982,
1857,14.96693251,
1858,14.88561324,
1859,16.03389238,
1860,16.88264756,
1861,16.35220367,
1862,16.42596246,
1863,17.81782155,
1864,18.50446876,
1865,20.89344942,
1866,21.9845522,
1867,21.91733986,
1868,22.39613398,
1869,23.61977208,
1870,24.71533689,
1871,26.68898361,
1872,27.85597457,
1873,28.93827888,
1874,29.24329353,
1875,29.97931684,
1876,30.6430473,
1877,31.88768047,
1878,32.48472331,
1879,33.84518197,
1880,35.16466561,
1881,36.96834339,
1882,38.77008616,
1883,39.92888687,
1884,40.18695042,
1885,39.98321918,
1886,41.35475484,
1887,42.54694059,
1888,44.28619708,
1889,47.13838871,
1890,48.22771299,
1891,47.94215145,
1892,47.16586049,
1893,46.92504677,
1894,49.6647074,
1895,52.21496855,
1896,54.42644323,
1897,57.66167807,
1898,58.84970049,
1899,62.08689545,
1900,60.39786195,
1901,61.65794858,
1902,64.78098688,
1903,67.20568076,
1904,68.85338731,
1905,73.51855119,
1906,77.31004491,
1907,79.01894878,
1908,77.29926774,
1909,80.2922112,
1910,85.60192423,
1911,89.21697694,
1912,95.56641566,
1913,100,
1914,87.49814767,
1915,73.73871539,
1916,84.04786225,
1917,81.77157902,
1918,74.90154444,
1919,82.93516411,
1920,90.59854835,
1921,76.90728186,
1922,89.06422052,
1923,94.82057506,
1924,103.5479702,
1925,111.8491873,
1926,115.4665999,
1927,122.6630318,
1928,128.4591098,
1929,134.6141735,
1930,124.4607464,
1931,109.7888902,
1932,96.14203308,
1933,94.65542857,
1934,100.4003306,
1935,105.1551259,
1936,110.0161374,
1937,121.7374082,
1938,113.2637697,
1950,150.4164,
1951,164.7418,
1952,171.9045,
1953,186.2299,
1954,200.5552,
1955,222.0433,
1956,236.3687,
1957,257.8567,
1958,250.6941,
1959,279.3448,
1960,315.1582,
1961,329.4836,
1962,350.9717,
1963,393.9478,
1964,436.9239,
1965,465.5747,
1966,501.3881,
1967,530.0389,
1968,587.3403,
1969,658.9672,
1970,716.2687,
1971,766.4075,
1972,830.8717,
1973,931.1493,
1974,981.2881,
1975,909.6613,
1976,1017.102,
1977,1060.078,
1978,1110.217,
1979,1167.518,
1980,1194.795,
1981,1187.985,
1982,1161.493,
1983,1191.692,
1984,1291.794,
1985,1325.38,
1986,1378.396,
1987,1454.207,
1988,1577.815,
1989,1678.795,
1990,1744.268,
1991,1808.806,
1992,1895.629,
1993,1979.036,
1994,2163.087,
1995,2323.155,
1996,2441.636,
1997,2688.241,
1998,2811.9,
1999,2941.248,
2000,3258.903,
2001,3252.12,
2002,3364.484,
2003,3552.919,
2004,3898.92,
2005,4154.229,
2006,4511.168,
2007,4803.425,
2008,4914.792,
2009,4320.877,
2010,4928.651,
2011,4557.16635,
2012,4418.939503,
2013,4444.857037,
2014,4427.578681,
